,name,CAS,smiles,Incineration,Recycling,Bio-treatment,VOC emissions,Environment - water,Environment - air,Health,Exposure,Flamability,Stability,waste_score,environment_score,health_score,safety_score,total_score
0,"1,2-Dichloroethane",107-06-2,ClCCCl,2,7,5,5,9,7,1,2,5,10,4.3253077270721105,7.937253933193772,1.4142135623730951,7.0710678118654755,4.30449117185317
1,Acetic acid,64-19-7,CC(=O)O,3,5,4,7,8,4,7,5,8,6,4.52701905583787,5.656854249492381,5.916079783099616,6.928203230275509,5.6919422898266525
2,Toluene,108-88-3,Cc1ccccc1,10,7,6,7,7,2,7,6,5,10,7.363543090585118,3.7416573867739413,6.48074069840786,7.0710678118654755,5.960945133413365
3,p-Xylene,106-42-3,Cc1ccc(C)cc1,10,9,6,7,5,2,7,7,5,10,7.8410270115436775,3.1622776601683795,7.0,7.0710678118654755,5.918872680106462
4,Acetone,67-64-1,CC(C)=O,5,6,2,2,10,6,10,6,4,9,3.309750919646873,7.745966692414834,7.745966692414834,6.0,5.875224322100119
5,Cyclohexanone,108-94-1,O=C1CCCCC1,7,8,6,8,8,6,7,6,8,9,7.200411487357017,6.928203230275509,6.48074069840786,8.48528137423857,7.2371438838068265
6,Ethylene glycol,107-21-1,OCCO,4,5,5,10,10,8,7,10,10,10,5.62341325190349,8.94427190999916,8.366600265340756,10.0,8.05422028269938
7,Cyclohexane,110-82-7,C1CCCCC1,10,6,5,4,3,5,10,6,2,10,5.885661912765424,3.872983346207417,7.745966692414834,4.47213595499958,5.301001059352606
8,"1,4-Dioxane",123-91-1,C1COCCO1,4,1,3,6,8,4,4,3,4,6,2.9129506302439405,5.656854249492381,3.4641016151377544,4.898979485566356,4.089319931471356
9,Pyridine,110-86-1,c1ccncc1,3,6,2,7,7,3,4,4,8,9,3.9842826037302554,4.58257569495584,4.0,8.48528137423857,4.989379123340675
10,Dimethyl sulphoxide,67-68-5,CS(C)=O,3,4,4,9,8,6,7,9,9,5,4.559014113909556,6.928203230275509,7.937253933193772,6.708203932499369,6.403862843891675
11,n-Hexane,110-54-3,CCCCCC,10,8,4,3,3,5,7,4,2,10,5.566315367427482,3.872983346207417,5.291502622129181,4.47213595499958,4.752551840563888
12,n-Heptane,142-82-5,CCCCCCC,10,4,5,6,3,5,10,6,3,10,5.885661912765424,3.872983346207417,7.745966692414834,5.477225575051661,5.576597483129146
13,Methylcyclohexane,108-87-2,CC1CCCCC1,10,4,5,6,1,5,10,7,3,10,5.885661912765424,2.23606797749979,8.366600265340756,5.477225575051661,4.955614217610832
14,Diethyl ether,60-29-7,CCOCC,7,7,3,1,5,3,10,4,2,6,3.4820045452270936,3.872983346207417,6.324555320336759,3.4641016151377544,4.145948427337866
15,Carbon tetrachloride,56-23-5,ClC(Cl)(Cl)Cl,3,7,5,4,4,1,4,1,4,10,4.52701905583787,2.0,2.0,6.324555320336759,3.271339197201793
16,Methanol,67-56-1,CO,4,7,3,3,10,7,4,6,5,10,3.9842826037302554,8.366600265340756,4.898979485566356,7.0710678118654755,5.829381046223041
17,Ethanol,64-17-5,CCO,5,5,3,4,9,5,10,8,6,10,4.161791450287817,6.708203932499369,8.94427190999916,7.745966692414834,6.631729404443448
18,4-Methyl-2-pentanone,108-10-1,CC(=O)CC(C)C,7,8,5,7,9,3,7,6,7,9,6.653712290320142,5.196152422706632,6.48074069840786,7.937253933193772,6.4939689078952725
19,Isopropyl acetate,108-21-4,CC(=O)OC(C)C,6,7,5,5,9,5,10,6,6,10,5.692425097622216,6.708203932499369,7.745966692414834,7.745966692414834,6.9185280811864045
20,Acetonitrile,75-05-8,CC#N,3,5,1,4,10,8,7,5,6,10,2.7831576837137404,8.94427190999916,5.916079783099616,7.745966692414834,5.81163209303404
21,"N,N-Dimethyl formamide",68-12-2,CN(C)C=O,3,6,3,8,10,4,1,6,9,9,4.559014113909556,6.324555320336759,2.449489742783178,9.0,5.021168165969804
22,Chlorobenzene,108-90-7,Clc1ccccc1,4,9,7,7,2,7,4,4,8,10,6.48074069840786,3.7416573867739413,4.0,8.94427190999916,5.427169829878228
