,SMILES,Price_EUR_10g
7,COc1cc(Cl)ccc1C(=O)O,36
23,NC(=S)NC1CCCCC1,65
28,C=CCC#N,30
42,CCCC(C)(C)O,68
64,Nc1ncc(Br)cc1[N+](=O)[O-],39
66,Nc1ccc(Br)cc1Cl,30
67,C=CCCCO,55
68,CCC(O)(CC)CC,85
84,CC(=O)c1cc(C)oc1C,38
94,O=Cc1ccc(N2CCCCC2)cc1,45
96,Brc1ccsc1,26
97,COC(=O)c1cc(Br)ccc1N,29
113,CCOC(=O)c1cnc2cc(C(F)(F)F)ccc2c1O,72
125,COc1ccc(S)cc1,84
132,NS(=O)(=O)c1cccc([N+](=O)[O-])c1,34
154,OCc1ccc(-n2cccn2)cc1,95
205,Cc1ccc(NN)c(C)c1.Cl,83
228,Fc1cc(F)cc(F)c1,30
229,ClCc1ccc(Cl)nc1,30
243,Nc1cccc(F)c1C(=O)O,30
249,C=C(Br)C(F)(F)F,41
275,COCCOCCCN,21
285,COC1CCNCC1,64
289,COc1cccc(B(O)O)c1,30
292,NC(N=O)=C1C=CNC=C1,21
310,Cl.NNc1ccccc1Br,30
326,Cl.c1cc2c(s1)CCNC2,30
329,C=Cc1ccc(C(C)(C)C)cc1,26
330,Cl.NNc1cccc([N+](=O)[O-])c1,44
342,Cl.NNc1ccccc1F,30
352,O=C(O)CC1Sc2ccccc2NC1=O,71
362,Cc1nn(C)c(Cl)c1C=O,66
370,CC(C)(N)C#N,31
377,CCCCCc1ccc(C(C)=O)cc1,30
382,Nc1ccc(-n2cccn2)cc1,79
389,CC(=O)NC1CCC(=O)CC1,26
390,O=c1[nH]cccc1C(F)(F)F,35
393,CCOC(=O)c1nc2ccccc2s1,22
395,COc1ccc(F)cc1C(C)=O,70
403,COC(=O)Cc1ccc(N)cc1.Cl,49
413,O=C(O)CC(=O)C(=O)O,46
424,Cl.N=C(N)CCl,84
427,Clc1[nH]cnc2nncc1-2,73
445,O=S(=O)(Cl)N1CCCC1,37
446,CC1CC(=O)OC1=O,96
453,O=C1CCOc2ccc(Br)cc21,96
484,O=C1N[C@H](C(=O)O)CS1,64
486,O=C1CCCc2cc(O)ccc21,63
520,O=[N+]([O-])c1nnc[nH]1,48
523,CNCc1ccc(Cl)cc1,87
537,CC(=O)Cc1ccc(F)cc1,45
544,CN(C)CC(=O)O,30
546,CC(C)NCCCO,98
