generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1787989306-kqRN5JZvW5bsXnlIgU6y,2026-08-29 07:41:46.806,0.012939,,-0.001526,,0,11271,5824,2624,6784,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,49277,10925,false,thesis paper,
gen-1787989240-kho0sVTPPWYFPEeHnNu1,2026-08-29 07:40:40.695,0.009793,,-0.000374,,0,5536,4392,3776,1664,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,64366,24462,false,thesis paper,
gen-1787989219-Nw94uXi6tL0IoYpiB9F6,2026-08-29 07:40:19.063,0.00486,,-0.000835,,0,6621,2020,1472,3712,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,19440,5613,false,thesis paper,
gen-1787989214-uheqFWlulQMu7DWoDUsR,2026-08-29 07:40:14.126,0.001074,,-0.000748,,0,6127,146,64,3328,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,2877,2787,false,thesis paper,
gen-1787989167-RGGOfvyTj8ZPVTWwutJw,2026-08-29 07:39:27.048,0.011296,,-0.001526,,0,11364,4991,2816,6784,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,42702,20601,false,thesis paper,
gen-1787989154-rk0yuVAJZxqD0WcRUOfx,2026-08-29 07:39:14.952,0.001267,,-0.00144,,0,9092,217,128,6400,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,4262,2907,false,thesis paper,
gen-1787989151-cMvPacaFB6vSlQIYdNVl,2026-08-29 07:39:11.069,0.001056,,-0.000518,,0,4586,214,128,2304,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,3538,3426,false,thesis paper,
gen-1787989140-0KKo1JHFZu9AnU89plRp,2026-08-29 07:39:00.414,0.002335,,,,0,2935,801,768,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,10232,5761,false,thesis paper,
gen-1787989080-U69eo0BBjSctNmCSCV9e,2026-08-29 07:38:00.683,0.008994,,-0.001526,,0,11090,3874,2112,6784,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,42554,19135,false,thesis paper,
gen-1787989070-L2TKf18pWyOBdIx5UclV,2026-08-29 07:37:50.138,0.002809,,,,0,4917,790,105,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,10095,2089,false,thesis paper,
gen-1787989064-Vdf0SMHu0t1WZWbr0Js1,2026-08-29 07:37:44.582,0.001531,,,,0,4790,167,128,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,3656,3557,false,thesis paper,
gen-1787989014-ZBBQBPSwuYj7LF1Hq0Wy,2026-08-29 07:36:54.839,0.00701,,-0.000374,,0,5667,2984,2560,1664,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,47861,18959,false,thesis paper,
gen-1787988990-KWYUnqRSaAG84w36jWBF,2026-08-29 07:36:30.538,0.004309,,-0.000835,,0,6866,1714,1280,3712,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,22261,14387,false,thesis paper,
gen-1787988984-EiaHIayY3HaZ5zSnd2tr,2026-08-29 07:36:24.866,0.001286,,-0.000748,,0,6413,216,192,3328,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,4027,3964,false,thesis paper,
gen-1787988947-8tYq684PHTsHG9VxPKGP,2026-08-29 07:35:47.471,0.00777,,-0.001526,,0,11132,3257,1088,6784,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,33428,4171,false,thesis paper,
gen-1787988937-JBXYdWCYgAB2Wt9q0v4b,2026-08-29 07:35:37.262,0.001132,,-0.00144,,0,9378,114,64,6400,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,2722,2601,false,thesis paper,
gen-1787988933-DkURQvsvKlySc8G6pL1o,2026-08-29 07:35:33.153,0.001095,,-0.000518,,0,4872,198,128,2304,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,3678,3546,false,thesis paper,
gen-1787988921-el2D7RlsUuh9n0EDjRAq,2026-08-29 07:35:21.156,0.002177,,,,0,3221,686,640,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,11675,11612,false,thesis paper,
gen-1787988865-ZrZSWX9qpvf21aL4NKbQ,2026-08-29 07:34:25.942,0.004734,,-0.000835,,0,6550,1966,1472,3712,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,36686,19385,false,thesis paper,
gen-1787988861-TL5dLFgSYeNkyqylSUz5,2026-08-29 07:34:21.734,0.000922,,-0.000748,,0,6182,63,0,3328,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,2324,2224,false,thesis paper,
gen-1787988844-NNA50IB0uoQfS2EwO3II,2026-08-29 07:34:04.342,0.00182,,,,0,385,862,832,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,16919,2979,false,thesis paper,
gen-1787988790-KhOYJQntyOcqHb3vdVsp,2026-08-29 07:33:10.748,0.009707,,-0.001526,,0,10984,4244,1984,6784,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,47080,7439,false,thesis paper,
gen-1787988780-6D2rsJClJ0KyBi5a9qzl,2026-08-29 07:33:00.578,0.001026,,-0.00144,,0,9147,90,0,6400,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,3025,2935,false,thesis paper,
gen-1787988776-x7269wbb9a91UWHteRTh,2026-08-29 07:32:56.721,0.000981,,-0.000518,,0,4641,170,64,2304,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,3549,3445,false,thesis paper,
gen-1787988766-cmWZnnvyaELv9epUq135,2026-08-29 07:32:46.398,0.002029,,,,0,2990,641,576,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,9769,5704,false,thesis paper,
gen-1787988676-cux3StjBboiHijEGy1g6,2026-08-29 07:31:16.207,0.014357,,-0.001526,,0,11351,6523,3200,6784,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,64508,27125,false,thesis paper,
gen-1787988670-4ZWxhaJpQ2F6MgpCjPy8,2026-08-29 07:31:10.333,0.017232,,-0.001526,,0,12453,7823,3072,6784,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,78057,23219,false,thesis paper,
gen-1787988649-znAY1fhHwDQgARsLus1K,2026-08-29 07:30:49.136,0.005627,,-0.000374,,0,5625,2298,1728,1664,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,25387,19701,false,thesis paper,
gen-1787988625-UaABF5VlKouZhPkqicT8,2026-08-29 07:30:25.327,0.009249,,-0.000374,,0,6031,4058,3008,1664,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,42770,31960,false,thesis paper,
gen-1787988594-XQ9jwMspgZfKGJInquCi,2026-08-29 07:29:54.801,0.006086,,-0.000835,,0,6623,2633,2176,3712,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,28238,10103,false,thesis paper,
gen-1787988589-tzr8XuxElqpSbvybpgft,2026-08-29 07:29:49.938,0.012249,,-0.001526,,0,11617,5436,2560,6784,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,54366,27195,false,thesis paper,
gen-1787988588-lCGzVJfOKfiuEz6vfCyU,2026-08-29 07:29:48.343,0.00092,,-0.000748,,0,6237,55,0,3328,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,2009,1933,false,thesis paper,
gen-1787988575-j4RIS92qKrF9v2bDo5Ut,2026-08-29 07:29:35.307,0.001518,,-0.00144,,0,9147,336,256,6400,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,4965,4371,false,thesis paper,
gen-1787988558-C8rlneLLmFAJif1U3mBA,2026-08-29 07:29:18.168,0.00375,,-0.000835,,0,6614,1466,896,3712,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,14881,10005,false,thesis paper,
gen-1787988553-wXsXoZzyWIyXTjCOL82Q,2026-08-29 07:29:13.432,0.000928,,-0.000748,,0,6182,66,94,3328,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,2337,1704,false,thesis paper,
gen-1787988548-vjrt1v7obU55Mu7f3pBY,2026-08-29 07:29:08.746,0.001049,,-0.000518,,0,4641,204,128,2304,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,4305,4206,false,thesis paper,
gen-1787988537-ZpG8iOPAKeRNdjHmWqEd,2026-08-29 07:28:57.510,0.002475,,,,0,2990,864,832,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,10775,3605,false,thesis paper,
