generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1787611018-zclqjbdi0emyBgF9l7Wo,2026-08-24 22:36:58.256,0.004183,,,,0,18871,116,0,0,qwen/qwen3-vl-235b-a22b-instruct,Parasail,standard,true,true,,,,8374,1036,false,kasper_paper,
gen-1787611011-0xjdPerWZ52kJdXNPjrs,2026-08-24 22:36:51.311,0.001632,,,,0,5929,204,0,0,qwen/qwen3-vl-235b-a22b-instruct,Parasail,standard,true,true,,,,15310,4544,false,kasper_paper,
gen-1787611001-zvtMzj2kvRPNueMXpOTI,2026-08-24 22:36:41.743,0.002385,,,,0,7007,481,0,0,qwen/qwen3-vl-235b-a22b-instruct,Parasail,standard,true,true,,,,24886,3515,false,kasper_paper,
gen-1787610993-pM4drXO69IR7JFLSjxvC,2026-08-24 22:36:33.744,0.002583,,,,0,8878,265,0,0,qwen/qwen3-vl-235b-a22b-instruct,Alibaba,standard,false,true,,tool_calls,tool_calls,5856,1520,false,kasper_paper,
gen-1787610991-7LhwO8hFQXVyHpgGlPsF,2026-08-24 22:36:31.311,0.00125,,-0.001008,,0,9271,164,0,9168,qwen/qwen3-vl-235b-a22b-instruct,Parasail,standard,false,true,,tool_calls,tool_calls,10305,3380,false,kasper_paper,
gen-1787610988-bmjaEu0aDAayMllpwZQE,2026-08-24 22:36:28.571,0.00163,,-0.000383,,0,9148,49,0,3488,qwen/qwen3-vl-235b-a22b-instruct,Parasail,standard,false,true,,tool_calls,tool_calls,2629,1560,false,kasper_paper,
gen-1787610980-QK7tQnYrH70b5TwkEmNf,2026-08-24 22:36:20.603,0.001622,,-0.000383,,0,8981,63,0,3488,qwen/qwen3-vl-235b-a22b-instruct,Parasail,standard,false,true,,tool_calls,tool_calls,7838,3480,false,kasper_paper,
gen-1787610978-LmAralQubWeyqSzlVxnZ,2026-08-24 22:36:18.707,0.002594,,,,0,4388,852,0,0,qwen/qwen3-vl-235b-a22b-instruct,Novita,standard,true,true,,,,47920,3310,false,kasper_paper,
gen-1787610976-oaoecHopb7wrC6wrdaxk,2026-08-24 22:36:16.837,0.004637,,-0.002925,,0,28249,858,0,26592,qwen/qwen3-vl-235b-a22b-instruct,Parasail,standard,false,true,,tool_calls,tool_calls,41223,1453,false,kasper_paper,
gen-1787610975-Q8Z1v1NKem90ymsKJbFb,2026-08-24 22:36:15.254,0.003453,,,,0,15666,86,0,0,qwen/qwen3-vl-235b-a22b-instruct,Venice,standard,false,true,,tool_calls,tool_calls,6850,4002,false,kasper_paper,
gen-1787610971-j8P0xyD6y1Ac6XVEL4MT,2026-08-24 22:36:11.265,0.002288,,,,0,8677,31,0,0,qwen/qwen3-vl-235b-a22b-instruct,Alibaba,standard,false,true,,tool_calls,tool_calls,2965,2684,false,kasper_paper,
