year,Flow chemistry | Flow chemistry,Flow chemistry | continuous flow synthesis,Flow chemistry | microfluidic reactor chemistry,Flow chemistry | microreactor synthesis,Organic synthesis | organic synthesis,Organic synthesis | synthetic methodology,Solvent & process sustainability | aqueous organic synthesis,Solvent & process sustainability | bio-based solvent,Solvent & process sustainability | solvent-free synthesis,Sustainable chemistry | environmentally benign synthesis,Sustainable chemistry | green chemistry,Sustainable chemistry | sustainable synthesis
1955,0,0,0,0,28,0,1,0,0,0,0,0
1956,0,1,0,0,25,0,0,0,0,0,0,0
1957,1,0,0,0,16,1,0,0,0,0,0,0
1958,1,0,0,0,33,0,1,0,0,0,1,0
1959,0,0,0,0,14,0,0,0,0,0,0,0
1960,2,0,0,0,20,0,0,0,0,0,0,0
1961,1,2,0,0,56,0,0,0,0,0,1,0
1962,1,4,0,0,48,2,1,0,0,0,1,0
1963,1,0,0,0,43,0,1,0,0,0,2,0
1964,1,0,0,0,53,0,1,0,0,0,1,0
1965,1,2,0,0,75,3,0,0,0,0,1,0
1966,2,1,0,0,81,1,0,0,0,0,2,0
1967,4,5,0,0,72,4,1,0,0,0,2,0
1968,2,1,0,0,57,0,0,0,1,0,2,0
1969,2,0,0,0,58,0,0,0,0,0,1,0
1970,1,1,0,0,72,0,0,0,0,0,3,0
1971,1,0,0,0,89,0,1,0,0,0,0,0
1972,0,0,0,0,91,1,2,0,0,0,0,0
1973,1,0,0,0,84,0,1,0,0,0,2,0
1974,1,1,0,0,116,0,1,0,0,0,4,0
1975,2,0,0,0,103,0,0,0,0,0,4,0
1976,11,4,0,0,186,7,10,0,0,0,2,0
1977,16,6,0,0,193,7,6,0,1,0,4,0
1978,12,5,0,0,241,6,3,0,1,0,9,0
1979,17,5,0,0,268,11,7,0,0,0,3,0
1980,10,11,0,0,238,10,7,0,0,0,6,0
1981,15,14,0,1,297,11,17,0,0,0,12,0
1982,9,13,0,0,269,14,6,0,0,0,5,0
1983,15,7,0,0,303,8,7,0,0,0,7,0
1984,24,10,0,0,325,14,9,0,0,0,7,0
1985,28,11,0,0,332,18,11,0,2,0,8,0
1986,33,12,0,0,328,19,10,0,0,0,8,0
1987,34,18,0,0,350,29,12,0,0,0,8,1
1988,26,19,0,0,354,41,15,0,2,0,12,0
1989,31,21,0,0,361,39,14,0,4,0,5,2
1990,68,22,0,0,443,55,29,0,0,0,16,2
1991,293,33,0,4,1447,89,86,0,13,0,49,0
1992,329,54,0,2,1512,102,83,0,8,1,53,2
1993,347,54,0,3,1495,103,71,0,10,1,59,6
1994,381,46,0,4,1769,106,120,0,12,9,52,8
1995,397,50,0,4,1860,135,134,0,23,6,78,16
1996,517,47,0,4,2017,167,127,0,24,17,86,8
1997,537,52,0,13,2253,213,165,0,35,19,94,21
1998,565,59,0,6,2433,225,184,0,53,8,114,15
1999,617,70,0,12,2629,265,209,0,75,27,146,10
2000,653,39,0,20,2617,266,206,0,72,26,201,23
2001,627,56,2,15,2656,265,236,0,106,24,234,21
2002,623,49,2,18,2860,301,237,1,156,50,265,27
2003,683,71,4,24,3162,356,271,1,200,66,331,55
2004,741,78,4,41,3460,406,309,0,279,87,358,44
2005,838,96,7,59,3734,449,302,1,351,91,463,55
2006,794,108,8,56,4115,486,370,1,475,117,533,83
2007,932,117,8,73,4500,587,425,8,618,129,623,109
2008,995,166,12,86,4830,576,483,4,690,145,693,133
2009,1080,177,12,112,5384,695,459,7,709,193,830,211
2010,1032,196,6,102,5606,729,552,16,822,196,887,241
2011,1253,224,15,148,6392,852,578,19,868,267,1109,312
2012,1272,274,16,133,6955,929,680,16,1012,352,1258,395
2013,1403,327,17,126,7264,1015,736,47,1045,355,1447,496
2014,1442,345,21,108,8166,1151,866,64,1176,424,1582,654
2015,1671,387,26,124,8755,1256,952,70,1200,430,1756,862
2016,1694,470,25,144,10022,1378,1122,95,1212,477,1862,1039
2017,1816,524,27,150,10874,1452,1200,134,1258,507,2053,1328
2018,1934,600,44,162,11954,1688,1491,162,1286,520,2263,1759
2019,2115,583,24,166,12228,1837,1471,211,1149,558,2654,2274
2020,2024,618,25,157,13294,1994,1549,242,1183,506,2845,2904
2021,2278,662,30,193,15006,2430,1726,271,1109,555,3437,4036
2022,2208,623,22,204,15167,2377,1739,335,1180,501,3724,4694
2023,2168,685,29,156,15031,2548,1579,347,1052,504,3772,5569
2024,2247,835,20,182,16695,3349,1642,404,1050,551,4428,9027
2025,2262,870,32,195,17512,4120,1631,549,1167,855,5607,16421
2026,107,41,1,13,665,177,70,32,51,49,228,850
